Designator,Mid X,Mid Y,Rotation,Layer
BT1,133.1,-83.285065,270.0,bottom
C1,151.7475,-69.2,0.0,top
C2,151.7525,-77.4,0.0,top
C3,167.6375,-97.5,0.0,top
C4,151.82,-73.3,0.0,top
J1,161.499924,-72.1,270.0,top
R1,126.0,-70.5,0.0,top
R2,126.05,-74.9,0.0,top
SW1,163.5,-86.450064,0.0,top
U1,132.7695,-87.891,180.0,top
U2,136.3,-72.0,0.0,top
U3,149.6,-89.288589,0.0,top
U4,157.200025,-96.9,0.0,top
